Link,Title,Description,Date
3dnews.ru/1080202/investitsii-v-itstartapi-sokratilis-bolee-chem-na-50-po-itogam-2022-goda,Инвестиции в российские IT-стартапы сжались более чем вдвое в 2022 году ,"Портал Video Games Chronicle обратил внимание, что официальный немецкий блог Xbox Wire раскрыл, чем, помимо прочего, будет примечательна предстоящая игровая презентация Developer_Direct от Xbox и Bethesda.",12.01.2023 18:47 
3dnews.ru/1080203/intel-predstavila-otborniy-24yaderniy-flagman-core-i913900ks-s-chastotoy-do-6-ggts-i-tsenoy-700,Intel представила отборный флагман Core i9-13900KS — он автоматически разгоняется до 6 ГГц и стоит $700 ,"Инвестиции в начинающие российские IT-компании резко сократились в прошлом году. В общей сложности за отчётный период было заключено 128 сделок, а объём вложений составил $1,1 млрд, что на 57 % меньше, чем годом ранее. Об этом пишет «Коммерсант» со ссылкой на данные портала Venture Guide.",12.01.2023 18:16 
3dnews.ru/1080193/obnarugeni-sverhtyagyolie-neytronnie-zvyozdi-kotorie-sushchestvovali-doli-sekundi-i-shlopnulis-v-chyornie-diri,"Учёные нашли сверхтяжёлые нейтронные звёзды, которые существовали доли секунды и схлопнулись в чёрные дыры ","Компания Intel сегодня официально представила и выпустила в продажу флагманский 24-ядерный процессор Core i9-13900KS, способный автоматически разгоняться до частоты 6 ГГц. Отборный флагман на $110 дороже модели Core i9-13900K. Новинку оценили в $700.",12.01.2023 17:36 
3dnews.ru/1080182/uchyonie-vpervie-nablyudayut-neizvestniy-ranee-mehanizm-sliyaniya-sverhmassivnih-chyornih-dir,Учёные впервые наблюдают неизвестный ранее механизм слияния сверхмассивных чёрных дыр ,"Американские учёные рассказали о двух сверхтяжёлых нейтронных звёздах, продолжительность жизни которых составила считанные доли секунды, после чего они превратились в чёрные дыры. Данные об этом обнаружились в архивах данных, собранных космической гамма-обсерваторией «Комптон» ), выведенной из эксплуатации ещё в 2000 году.",12.01.2023 14:10 
3dnews.ru/1080170/razmer-imeet-znachenie-za-vosem-let-s-reliza-igroki-elite-dangerous-issledovali-menshe-1-galaktiki,Размер имеет значение: за восемь лет с релиза игроки Elite: Dangerous исследовали меньше 1 % галактики ,"Сравнительно недалеко от нас, на расстоянии всего 500 млн световых лет, замечено образование пары из сверхмассивных чёрных дыр. Поразительно, но эта пара возникла не из двойной звёздной системы. Каждый из этих объектов пришёл на встречу издалека вместе со своей собственной галактикой, и теперь они на пару «закусывают» окружающими их звёздами и веществом своих галактик пока не сольются в одну ещё более массивную чёрную дыру.",12.01.2023 13:23 
3dnews.ru/1080166/samsung-predstavila-noveyshie-proizvoditelnie-ssd-pm9c1a-dlya-personalnih-kompyuterov,Samsung представила новейшие бюджетные SSD PM9C1a для персональных компьютеров ,Космос поистине необъятен. Оценить масштабы внеземного пространства в космическом симуляторе Elite: Dangerous пользователи смогли благодаря свежей статистике от разработчиков из британской студии Frontier Developments.,12.01.2023 11:36 
3dnews.ru/1080161/nasa-nachalo-raspakovku-korabl-orion-vernuvshegosya-posle-polyota-k-lune,"NASA начало «распаковку» корабля Orion, вернувшегося после полёта к Луне ","Samsung Electronics объявила о готовности к производству новых производительных SSD для ноутбуков и настольных компьютеров: моделей PM9C1a с интерфейсом PCIe 4.0 и поддержкой протокола NVMe. Накопители предназначены для OEM-сегмента, то есть они не будут продаваться в рознице, но появятся в составе ноутбуков и готовых ПК. Новинки представляют собой безбуферные SSD, они вооружены новым 5-нм контроллером Samsung и памятью V-NAND седьмого поколения (176 слоёв).",12.01.2023 10:32 
3dnews.ru/1080159/zond-nasa-yunona-vishel-iz-bezopasnogo-regima-posle-sboya-i-zavershaet-peredachu-dannih-po-yupiterianskoy-lune-io,Зонд NASA «Юнона» вышел из безопасного режима после сбоя и передаёт данные по юпитерианской луне Ио ,"Специалисты NASA начали вынимать содержимое из корабля Orion, вернувшегося из космических странствий вокруг Луны. Изучение полезной нагрузки капсулы, летавшей к Луне и обратно в рамках недавней миссии Artemis 1, не предвещает никаких опасных сюрпризов. Речь идёт о серьёзной инженерной работе, которая необходима для будущих миссий уже с людьми на борту.",12.01.2023 10:19 
3dnews.ru/1080149/apple-gotovit-noutbuki-macbook-pro-s-sensornim-displeem-tipa-oled,Apple готовит ноутбуки MacBook Pro с сенсорным дисплеем типа OLED ,"14 декабря 2022 года во время 47-го сближения с Юпитером бортовое оборудование зонда NASA «Юнона» (Juno) получило заряд высокоэнергетических частиц в магнитосфере планеты и частично отказало. Сбой выразился в срыве передачи данных, собранных о луне Юпитера Ио. Команда NASA перевела зонд в безопасный режим 17 декабря и начала восстанавливать его, с чем в итоге успешно справилась.",12.01.2023 06:55 
3dnews.ru/1080122/protsessori-amd-ryzen-7000x3d-s-uvelichennim-obyomom-keshpamyati-postupyat-v-prodagu-14-fevralya,"AMD написала, что выпустит AMD Ryzen 7000X3D 14 февраля, а потом передумала ","Долгое время руководство Apple сопротивлялось идее наделения ноутбука сенсорным интерфейсом, ведь ещё в 2010 году основатель компании Стив Джобс (Steve Jobs) утверждал, что ",11.01.2023 19:11 
3dnews.ru/1080135/shadowcam-moon-pics,"Первая лунная миссия Южной Кореи прислала фото области Луны, где никогда не светит Солнце ",". Работа с ними была эргономическим кошмаром, по мнению руководителя Apple, но теперь информированные источники отмечают, что компания ведёт разработку ноутбука MacBook Pro, который получит не только сенсорный интерфейс, но и дисплей типа OLED.",11.01.2023 18:46 
3dnews.ru/1080131/v-ssha-otmeneni-vse-vnutrennie-aviareysi-izza-sboya-sistemi-opoveshcheniya-pilotov,В США отменены все внутренние авиарейсы из-за компьютерного сбоя ,"Компания AMD указала на своём сайте дату начала продаж новых процессоров Ryzen 7000X3D на архитектуре Zen 4, оснащённых дополнительной кеш-памятью 3D V-Cache. Согласно описанию процессора Ryzen 7 7800X3D, новинки должны появиться на полках магазинов с 14 февраля. Однако позже AMD вовсе удалила дату запуска, так что уверенности в том, что новинки выйдут на День всех влюблённых теперь нет.  ",11.01.2023 17:57 
